Complex	Difficulty	Cat	PDB1(R)	PDB2(L)	IRMSD(A)	DeltaASA(A2)
1AHW_AB:C	1	A	1FGN_LH	1TFH_A	0,69	1899	
1BVK_DE:F	1	A	1BVL_BA	3LZT_	1,24	1321	
1DQJ_AB:C	1	A	1DQQ_CD	3LZT_	0,75	1765	
1E6J_HL:P	1	A	1E6O_HL	1A43_	1,05	1245	
1JPS_HL:T	1	A	1JPT_HL	1TFH_B	0,51	1852	
1MLC_AB:E	1	A	1MLB_AB	3LZT_	0,6	1392	
1VFB_AB:C	1	A	1VFA_AB	8LYZ_	1,02	1383	
1WEJ_HL:F	1	A	1QBL_HL	1HRC_	0,31	1177	
2FD6_HL:U	1	A	2FAT_HL	1YWH_A	1,07	1139	
2I25_N:L	1	A	2I24_N	3LZT	1,21	1425	
2VIS_AB:C	1	A	1GIG_LH	2VIU_ACE	0,8	1296	
2VXT_HL:I	1	A	2VXU_HL	1J0S_A(6)	1,33	2163	
2W9E_HL:A	1	A	2W9D_HL	1QM1_A	1,13	1677	
3EOA_LH:I	1	A	3EO9_LH	3F74_A	0,39	1272	
3HMX_LH:AB	1	A	3HMW_LH	1F45_AB	0,73	1841	
3MXW_LH:A	1	A	3MXV_LH	3M1N_A	0,48	1696	
3RVW_CD:A	1	A	3RVT_CD	3F5V_A	0,5	1383	
4DN4_LH:M	1	A	4DN3_LH	1DOL_A	0,81	1317	
4FQI_HL:ABEFCD	1	A	4FQH_HL	2FK0_ABCDEF	1,08	1459	
4G6J_HL:A	1	A	4G5Z_HL	4I1B_A	0,61	1893	
4G6M_HL:A	1	A	4G6K_HL	4I1B_A	0,49	1673	
4GXU_MN:ABEFCD	1	A	4GXV_HL	1RUZ_HIJKLM	0,78	1830	
1BJ1_HL:VW	1	AB	1BJ1_HL	2VPF_GH	0,5	1731	
1FSK_BC:A	1	AB	1FSK_BC	1BV1_	0,45	1623	
1I9R_HL:ABC	1	AB	1I9R_HL	1ALY_ABC	1,3	1498	
1IQD_AB:C	1	AB	1IQD_AB	1D7P_M	0,48	1976	
1K4C_AB:C	1	AB	1K4C_AB	1JVM_ABCD	0,53	1601	
1KXQ_H:A	1	AB	1KXQ_H	1PPI_	0,72	2172	
1NCA_HL:N	1	AB	1NCA_HL	7NN9_	0,24	1953	
1NSN_HL:S	1	AB	1NSN_HL	1KDC_	0,35	1776	
1QFW_HL:AB	1	AB	1QFW_HL	1HRP_AB	1,31	1580	
1QFW_IM:AB	1	AB	1QFW_IM	1HRP_AB	0,73	1637	
2JEL_HL:P	1	AB	2JEL_HL	1POH_	0,17	1501	
1AVX_A:B	1	EI	1QQU_A	1BA7_B	0,47	1585	
1AY7_A:B	1	EI	1RGH_B	1A19_B	0,54	1237	
1BUH_A:B	1	EI	1HCL_	1DKS_A	0,75	1324	
1BVN_P:T	1	EI	1PIG_	1HOE_	0,87	2222	
1CLV_A:I	1	EI	1JAE_A	1QFD_A(1)	0,86	2087	
1D6R_A:I	1	EI	2TGT_	1K9B_A	1,14	1408	
1DFJ_E:I	1	EI	9RSA_B	2BNH_	1,02	2582	
1E6E_A:B	1	ES	1E1N_A	1CJE_D	0,96	2315	
1EAW_A:B	1	EI	1EAX_A	9PTI_	0,54	1866	
1EWY_A:C	1	ES	1GJR_A	1CZP_A	0,8	1502	
1EZU_C:AB	1	EI	1TRM_A	1ECZ_AB	1,21	2751	
1F34_A:B	1	EI	4PEP_	1F32_A	0,93	3038	
1F51_AB:E	1	ER	1IXM_AB	1SRR_C	0,74	2407	
1FLE_E:I	1	EI	9EST_A	2REL_A(4)	1,02	1763	
1GL1_A:I	1	EI	1K2I_1	1PMC_A(6)	1,21	1591	
1GLA_G:F	1	ER	1BU6_O	1F3Z_A	0,98	1304	
1GXD_A:C	1	EI	1CK7_A	1BR9_A	1,39	2445	
1HIA_AB:I	1	EI	2PKA_XY	1BX8_	1,4	1737	
1JTD_B:A	1	EI	3QI0_A	1BTL_A	0,44	2180	
1JTG_B:A	1	EI	3GMU_B	1ZG4_A	0,49	2600	
1JWH_CD:A	1	ER	3EED_AB	3C13_A	1,27	1452	
