PDB_name	Type_sampling	IsNative	statpot	vdw	electro	shape	rmsd	rmsd_align	tmscore
1j5p_A_1j5p_B_native	homomeres_c2	True	374.11	-307.5025254319218	1.1818632828591714e-24	-1753.0	NA	NA	NA	
1j5p_A_1j5p_B1j5p_A_1j5p_B_3	homomeres_c2	False	153.93	-65.91921556935748	-2.9448394367129293e-25	-519.0	0.74	0.74	0.6025	
1j5p_A_1j5p_B1j5p_A_1j5p_B_15	homomeres_c2	False	202.46	309.65038598278886	2.5014846063329727e-25	-1047.0	0.41	0.41	0.5460	
1j5p_A_1j5p_B1j5p_A_1j5p_B_5	homomeres_c2	False	220.73	-143.41859172092816	-3.3526097352574215e-25	-1060.0	0.00	0.00	0.5634	
1j5p_A_1j5p_B1j5p_A_1j5p_B_16	homomeres_c2	False	156.49	-96.22189287812695	-1.2968171476092573e-25	-273.0	0.00	0.00	0.5618	
1j5p_A_1j5p_B1j5p_A_1j5p_B_10	homomeres_c2	False	191.1	-153.77117053278593	-3.2357398976939273e-25	-982.0	0.24	0.24	0.5521	
1j5p_A_1j5p_B1j5p_A_1j5p_B_7	homomeres_c2	False	166.81	103.13213642219173	-1.1187597962374162e-24	-401.0	0.33	0.33	0.5453	
1j5p_A_1j5p_B1j5p_A_1j5p_B_17	homomeres_c2	False	156.49	-96.20413988584238	-1.2963740408843504e-25	-1187.0	0.00	0.00	0.5618	
1j5p_A_1j5p_B1j5p_A_1j5p_B_14	homomeres_c2	False	202.46	289.96669138609155	2.4980125628670317e-25	-998.0	0.41	0.41	0.5460	
1j5p_A_1j5p_B1j5p_A_1j5p_B_20	homomeres_c2	False	164.14	443.32467273795027	-4.385043618636646e-25	-577.0	0.59	0.59	0.5780	
1j5p_A_1j5p_B1j5p_A_1j5p_B_19	homomeres_c2	False	181.68	422.072024238158	5.631467911488709e-25	-463.0	0.00	0.00	0.5808	
1j5p_A_1j5p_B1j5p_A_1j5p_B_13	homomeres_c2	False	196.92	52.055061364823025	2.3111693859073696e-25	-821.0	0.39	0.39	0.5458	
1j5p_A_1j5p_B1j5p_A_1j5p_B_9	homomeres_c2	False	90.88	15.377508056640734	2.3291722150221738e-25	-901.0	3.46	3.46	0.6240	
1j5p_A_1j5p_B1j5p_A_1j5p_B_8	homomeres_c2	False	137.4	-51.731350052552784	1.8010616488044798e-26	-625.0	0.00	0.00	0.5491	
1j5p_A_1j5p_B1j5p_A_1j5p_B_11	homomeres_c2	False	158.23	-143.17110564305702	-4.836006385139442e-25	-871.0	0.64	0.64	0.5851	
1j5p_A_1j5p_B1j5p_A_1j5p_B_12	homomeres_c2	False	149.77	-133.25731718484383	-4.836053780951605e-25	-1370.0	0.64	0.64	0.5851	
1j5p_A_1j5p_B1j5p_A_1j5p_B_24	homomeres_c2	False	161.53	-85.337392927347	2.4424920429726096e-25	-828.0	0.00	0.00	0.5542	
1j5p_A_1j5p_B1j5p_A_1j5p_B_23	homomeres_c2	False	147.77	-177.95700059841894	4.82305365443298e-25	-1329.0	1.39	1.39	0.6351	
1j5p_A_1j5p_B1j5p_A_1j5p_B_2	homomeres_c2	False	321.83	176.62625052988483	-1.3523257052147052e-24	-321.0	0.51	0.51	0.5486	
1j5p_A_1j5p_B1j5p_A_1j5p_B_21	homomeres_c2	False	147.42	-117.81724612622126	-1.3602150223676502e-25	-716.0	0.00	0.00	0.5506	
1j5p_A_1j5p_B1j5p_A_1j5p_B_4	homomeres_c2	False	220.73	-143.38787993228624	-3.352775653738957e-25	-468.0	0.00	0.00	0.5634	
1j5p_A_1j5p_B1j5p_A_1j5p_B_22	homomeres_c2	False	202.08	268.895050375028	-1.086184248217734e-24	-578.0	0.00	0.00	0.5319	
1j5p_A_1j5p_B1j5p_A_1j5p_B_1	homomeres_c2	False	388.11	-368.03773771041284	1.1889945992884464e-24	-1935.0	0.24	0.24	0.9991	
1j5p_A_1j5p_B1j5p_A_1j5p_B_6	homomeres_c2	False	176.96	-74.38244856727468	1.3446338246186785e-25	-664.0	0.00	0.00	0.5504	
1j5p_A_1j5p_B1j5p_A_1j5p_B_18	homomeres_c2	False	181.68	421.95271780632726	5.631161469951294e-25	-626.0	0.00	0.00	0.5807	
